species,n_cells_64,n_cells_128,a_eta_64,a_eta_128,b_eta_64,b_eta_128,c_eta_64,c_eta_128,d_frac_64,d_frac_128,d2_frac_64,d2_frac_128,a_rank_64,a_rank_128,b_rank_64,b_rank_128,c_rank_64,c_rank_128,d_rank_64,d_rank_128,d2_rank_64,d2_rank_128
barbutellus,15,21,2.8995455354651543,0.5945183095476986,1.450218066593084,0.3619226572058559,3.1445950120886894,0.5677690860770107,0.4562912583351135,0.46658843755722046,0.3333333333333333,0.23809523809523808,15,24,17,8,15,24,28,18,21,26
bohemicus,6,11,3.0906595934699794,0.974248575181598,1.5189487685035488,-1.9780872593215757,3.3227066744636318,0.8088427056976503,0.4694053828716278,0.4300421476364136,0.3333333333333333,0.18181818181818182,12,23,15,30,12,23,23,29,21,28
campestris,7,15,2.206717048624192,-0.37829350017518376,0.1333948120862587,-0.960506074955171,2.4154658660680397,-0.38571442001075124,0.4994671046733856,0.5001853704452515,0.5714285714285714,0.6,18,28,26,20,18,28,6,4,6,3
hortorum,33,65,0.5828211823694667,1.3791394066407792,0.4223453173630198,-0.06294818405364822,0.6353042641870936,1.32685325856949,0.48097723722457886,0.4764721691608429,0.36363636363636365,0.36923076923076925,28,19,23,12,28,19,13,12,17,14
humilis,23,43,1.8664462538422897,2.90427833014009,1.7357948990525558,0.9680620353746174,1.8877103002728775,2.8954854529428244,0.4787999093532562,0.46867796778678894,0.34782608695652173,0.3488372093023256,20,13,10,6,20,13,16,14,19,17
hypnorum,6,7,4.209024518967183,-1.3884964474151387,1.8906134071355185,-1.6181625612685933,4.75393399620107,-1.4767582901427998,0.392663836479187,0.3984147012233734,0.0,0.14285714285714285,5,30,9,27,5,30,31,31,30,30
jonellus,5,6,4.1743182391493,7.626720685422192,2.9666494578687823,-0.24545846515916825,4.422333404478279,7.416518945157299,0.5070955157279968,0.4733262062072754,0.6,0.5,7,2,3,16,7,2,4,13,4,5
lapidarius,25,57,0.9457581766957536,1.5884317195061681,-0.03834097300822592,-0.5593525135870936,1.1567488440388933,1.55267525073328,0.4540623426437378,0.44582992792129517,0.24,0.15789473684210525,23,18,28,18,23,17,29,24,26,29
lucorum,26,50,0.6209365275504817,1.7421193675985243,0.17635177046086686,-0.29752892685032833,0.6967913654449214,1.7183404521932508,0.47616925835609436,0.4786403179168701,0.34615384615384615,0.36,27,16,25,17,27,16,20,10,20,15
magnus,9,16,3.090399471952591,2.007754967181934,1.5249975602170562,-0.21666426900123237,3.27511331243721,1.947233364551319,0.452229380607605,0.4275391399860382,0.2222222222222222,0.25,13,14,14,15,13,14,30,30,27,24
mendax,4,4,7.644086827941306,5.854822443340028,3.390104760833152,2.6627492173649916,8.134868135161765,5.929037378642763,0.5264131426811218,0.5063101053237915,0.75,0.5,2,5,2,1,2,5,2,3,1,5
mesomelas,8,13,3.2437014611451134,6.385921430491395,1.9878234894959435,1.8305741070737316,3.4497683079926476,6.353831243418641,0.46899285912513733,0.467900812625885,0.25,0.38461538461538464,10,4,7,2,11,4,24,17,24,12
monticola,5,6,4.0406147095224325,5.215857246700239,1.6670911165735194,1.1265827210578432,4.3560114952585165,5.153926590267133,0.477323055267334,0.47725820541381836,0.4,0.3333333333333333,8,8,13,4,9,8,17,11,15,18
mucidus,7,7,5.4533228952036215,7.702155192104713,2.7492441016779257,1.2421137883342663,5.82023478332618,7.7270026995815195,0.48667097091674805,0.47935160994529724,0.42857142857142855,0.42857142857142855,3,1,5,3,4,1,12,9,13,11
muscorum,25,43,1.6521656267801386,3.06798514929737,1.6912697680750948,0.9724531492325201,1.675722455278979,3.0431590994926827,0.4802064001560211,0.4828316569328308,0.36,0.4418604651162791,21,12,11,5,21,11,14,8,18,10
norvegicus,1,1,10.018337701387242,-3.225298806110713,3.9790785060594835,-1.2919222554362744,10.975108598298863,-3.28779165355334,0.479140043258667,0.4308435320854187,0.0,0.0,1,31,1,25,1,31,15,28,30,31
pascuorum,46,111,-0.5766544408686725,0.029568863189292527,-0.6298712856658069,-1.225515085184502,-0.5197348363288012,0.001956892287803269,0.4905509650707245,0.4682610332965851,0.4782608695652174,0.36936936936936937,30,25,30,24,30,25,10,15,10,13
pratorum,25,40,0.46255072551771304,-0.00925367683176459,-0.28758255046800474,-1.6821963152289814,0.6164539714436164,-0.1624681314826435,0.5031894445419312,0.5293858051300049,0.52,0.675,29,26,29,28,29,26,5,2,8,2
pyrenaeus,4,4,5.41453693096245,6.6021491140907775,2.859121539040453,-0.16688300661387345,5.831052758141405,6.582340344864703,0.4686804711818695,0.4442240297794342,0.25,0.25,4,3,4,14,3,3,25,26,24,24
quadricolor,3,5,4.0105063552701905,-0.08901879386138223,0.8987170095289185,-2.902749629775994,4.3806588287198975,-0.22986552313994668,0.49174225330352783,0.44579821825027466,0.6666666666666666,0.2,9,27,20,31,8,27,9,25,3,27
